"","author","year","title","journal"
"1081","SALMON NATHAN",1993,"A PROBLEM IN THE FREGE CHURCH THEORY OF SENSE AND DENOTATION","NOUS"
"1082","GARRETT D",1993,"THE REPRESENTATION OF CAUSATION AND HUME 2 DEFINITIONS OF CAUSE","NOUS"
"1083","BURAS TODD",2006,"COUNTERPART THEORY, NATURAL PROPERTIES, AND ESSENTIALISM","JOURNAL OF PHILOSOPHY"
"1084","CLARKE RANDOLPH",1993,"TOWARD A CREDIBLE AGENT-CAUSAL ACCOUNT OF FREE-WILL","NOUS"
"1085","O'CONNOR T",1993,"ON THE TRANSFER OF NECESSITY","NOUS"
"1086","SANFORD DH",1993,"THE PROBLEM OF THE MANY, MANY COMPOSITION QUESTIONS, AND NAIVE MEREOLOGY
+ ON `MATERIAL BEINGS' BY VANINWAGEN,PETER","NOUS"
"1087","VAN INWAGEN PETER",1993,"NAIVE MEREOLOGY, ADMISSIBLE VALUATIONS, AND OTHER MATTERS + A REPLY TO
SANFORD,DAVID","NOUS"
"1088","LANGE MARC",1993,"LAWLIKENESS","NOUS"
"1089","SIMMONS K",1993,"ON AN ARGUMENT AGAINST OMNISCIENCE","NOUS"
"1090","FELDMAN R",1993,"PROPER-FUNCTIONALISM + PLANTINGA,ALVIN ON WARRANT","NOUS"
"1091","SOSA ERNEST",1993,"PROPER-FUNCTIONALISM AND VIRTUE EPISTEMOLOGY + PLANTINGA,ALVIN ON
WARRANT","NOUS"
"1092","PLANTINGA A",1993,"WHY WE NEED PROPER-FUNCTION + A RESPONSE TO FELDMAN AND SOSA","NOUS"
"1093","BERKER SELIM",2013,"EPISTEMIC TELEOLOGY AND THE SEPARATENESS OF PROPOSITIONS","PHILOSOPHICAL REVIEW"
"1094","WESTERHOFF J",2005,"LOGICAL RELATIONS BETWEEN PICTURES","JOURNAL OF PHILOSOPHY"
"1095","VAN WIETMARSCHEN HAN",2013,"PEER DISAGREEMENT, EVIDENCE, AND WELL-GROUNDEDNESS","PHILOSOPHICAL REVIEW"
"1096","SCHARP KEVIN",2013,"TRUTH, THE LIAR, AND RELATIVISM","PHILOSOPHICAL REVIEW"
"1097","NEWLANDS SAMUEL",2013,"LEIBNIZ AND THE GROUND OF POSSIBILITY","PHILOSOPHICAL REVIEW"
"1098","SARTORIO CAROLINA",2013,"MAKING A DIFFERENCE IN A DETERMINISTIC WORLD","PHILOSOPHICAL REVIEW"
"1099","GREENBERG GABRIEL",2013,"BEYOND RESEMBLANCE","PHILOSOPHICAL REVIEW"
"1100","AHMED ARIF",2013,"CAUSAL DECISION THEORY: A COUNTEREXAMPLE","PHILOSOPHICAL REVIEW"
"1101","MOSS SARAH",2013,"EPISTEMOLOGY FORMALIZED","PHILOSOPHICAL REVIEW"
"1102","WILLER MALTE",2013,"DYNAMICS OF EPISTEMIC MODALITY","PHILOSOPHICAL REVIEW"
"1103","BOMMARITO NICOLAS",2013,"MODESTY AS A VIRTUE OF ATTENTION","PHILOSOPHICAL REVIEW"
"1104","PRICE HUW",2012,"CAUSATION, CHANCE, AND THE RATIONAL SIGNIFICANCE OF SUPERNATURAL
EVIDENCE","PHILOSOPHICAL REVIEW"
"1105","EVERETT A",2005,"AGAINST FICTIONAL REALISM","JOURNAL OF PHILOSOPHY"
"1106","BRADLEY RICHARD",2012,"MULTIDIMENSIONAL POSSIBLE-WORLD SEMANTICS FOR CONDITIONALS","PHILOSOPHICAL REVIEW"
"1107","KMENT BORIS",2012,"HAECCEITISM, CHANCE, AND COUNTERFACTUALS","PHILOSOPHICAL REVIEW"
"1108","GERT JOSHUA",2012,"MORAL WORTH, SUPEREROGATION, AND THE JUSTIFYING/REQUIRING DISTINCTION","PHILOSOPHICAL REVIEW"
"1109","GRECO DANIEL",2012,"THE IMPOSSIBILITY OF SKEPTICISM","PHILOSOPHICAL REVIEW"
"1110","SANTORIO PAOLO",2012,"REFERENCE AND MONSTROSITY","PHILOSOPHICAL REVIEW"
"1111","DORSEY DALE",2012,"SUBJECTIVISM WITHOUT DESIRE","PHILOSOPHICAL REVIEW"
"1112","MAHTANI ANNA",2012,"DIACHRONIC DUTCH BOOK ARGUMENTS","PHILOSOPHICAL REVIEW"
"1113","BRADLEY DARREN",2012,"FOUR PROBLEMS ABOUT SELF-LOCATING BELIEF","PHILOSOPHICAL REVIEW"
"1114","HOLLIDAY WESLEY H",2012,"FREEDOM AND THE FIXITY OF THE PAST","PHILOSOPHICAL REVIEW"
"1115","NANAY BENCE",2012,"FUNCTION ATTRIBUTIONS DEPEND ON THE EXPLANATORY CONTEXT: A REPLY TO
NEANDER AND ROSENBERG'S REPLY TO NANAY","JOURNAL OF PHILOSOPHY"
"1116","FINE KIT",2005,"CLASS AND MEMBERSHIP","JOURNAL OF PHILOSOPHY"
"1117","PETTIGREW RICHARD",2012,"ACCURACY, CHANCE, AND THE PRINCIPAL PRINCIPLE","PHILOSOPHICAL REVIEW"
"1118","VAN GULICK ROBERT",2012,"ON THE SUPPOSED INCONCEIVABILITY OF ABSENT QUALIA FUNCTIONAL
DUPLICATES-A REPLY TO TYE","PHILOSOPHICAL REVIEW"
"1119","CAIE MICHAEL",2012,"BELIEF AND INDETERMINACY","PHILOSOPHICAL REVIEW"
"1120","KOTZEN MATTHEW",2012,"DRAGGING AND CONFIRMING","PHILOSOPHICAL REVIEW"
"1121","SHABO SETH",2012,"WHERE LOVE AND RESENTMENT MEET: STRAWSON'S INTRAPERSONAL DEFENSE OF
COMPATIBILISM","PHILOSOPHICAL REVIEW"
"1122","PROSSER SIMON",2011,"AFFORDANCES AND PHENOMENAL CHARACTER IN SPATIAL PERCEPTION","PHILOSOPHICAL REVIEW"
"1123","CHALMERS DAVID J",2011,"VERBAL DISPUTES","PHILOSOPHICAL REVIEW"
"1124","MERRICKS TRENTON",2011,"FOREKNOWLEDGE AND FREEDOM","PHILOSOPHICAL REVIEW"
"1125","GRAHAM PETER A",2011,"`OUGHT' AND ABILITY","PHILOSOPHICAL REVIEW"
"1126","NIELSEN KAREN MARGRETHE",2011,"DELIBERATION AS INQUIRY: ARISTOTLE'S ALTERNATIVE TO THE PRESUMPTION OF
OPEN ALTERNATIVES","PHILOSOPHICAL REVIEW"
"1127","OSTERTAG GARY",2005,"A PUZZLE ABOUT DISBELIEF","JOURNAL OF PHILOSOPHY"
"1128","ENOCH DAVID",2011,"ON MARK SCHROEDER'S HYPOTHETICALISM: A CRITICAL NOTICE OF SLAVES OF THE
PASSIONS","PHILOSOPHICAL REVIEW"
"1129","PROOPS IAN",2011,"RUSSELL ON SUBSTITUTIVITY AND THE ABANDONMENT OF PROPOSITIONS","PHILOSOPHICAL REVIEW"
"1130","LAM BARRY",2011,"ON THE RATIONALITY OF BELIEF-INVARIANCE IN LIGHT OF PEER DISAGREEMENT","PHILOSOPHICAL REVIEW"
"1131","SZABO ZOLTAN GENDLER",2011,"BARE QUANTIFIERS","PHILOSOPHICAL REVIEW"
"1132","LEVEY SAMUEL",2011,"ON TWO THEORIES OF SUBSTANCE IN LEIBNIZ: CRITICAL NOTICE OF DANIEL
GARBER, LEIBNIZ: BODY, SUBSTANCE, MONAD","PHILOSOPHICAL REVIEW"
"1133","SCHROEDER MARK",2011,"OUGHT, AGENTS, AND ACTIONS","PHILOSOPHICAL REVIEW"
"1134","SUNDSTROM PAR",2011,"ON IMAGISM ABOUT PHENOMENAL THOUGHT","PHILOSOPHICAL REVIEW"
"1135","ROSS JACOB",2010,"SLEEPING BEAUTY, COUNTABLE ADDITIVITY, AND RATIONAL DILEMMAS","PHILOSOPHICAL REVIEW"
"1136","PROOPS IAN",2010,"KANT'S FIRST PARALOGISM","PHILOSOPHICAL REVIEW"
"1137","TUCKER CHRISTOPHER",2010,"WHEN TRANSMISSION FAILS","PHILOSOPHICAL REVIEW"
"1138","ALMOG JOSEPH",2005,"IS A UNIFIED DESCRIPTION OF LANGUAGE-AND-THOUGHT POSSIBLE?","JOURNAL OF PHILOSOPHY"
"1139","LEBUFFE MICHAEL",2010,"THEORIES ABOUT CONSCIOUSNESS IN SPINOZA'S ETHICS","PHILOSOPHICAL REVIEW"
"1140","MCDONOUGH JEFFREY K",2010,"LEIBNIZ AND THE PUZZLE OF INCOMPOSSIBILITY: THE PACKING STRATEGY","PHILOSOPHICAL REVIEW"
"1141","KOLODNY NIKO",2010,"THE EXPLANATION OF AMOUR-PROPRE","PHILOSOPHICAL REVIEW"
"1142","MARKOVITS JULIA",2010,"ACTING FOR THE RIGHT REASONS","PHILOSOPHICAL REVIEW"
"1143","BRIGGS RACHAEL",2010,"DECISION-THEORETIC PARADOXES AS VOTING PARADOXES","PHILOSOPHICAL REVIEW"
"1144","TURRI JOHN",2010,"EPISTEMIC INVARIANTISM AND SPEECH ACT CONTEXTUALISM","PHILOSOPHICAL REVIEW"
"1145","SATTIG THOMAS",2010,"COMPATIBILISM ABOUT COINCIDENCE","PHILOSOPHICAL REVIEW"
"1146","FISCHER JOHN MARTIN",2010,"THE FRANKFURT CASES: THE MORAL OF THE STORIES","PHILOSOPHICAL REVIEW"
"1147","BROCK STUART",2010,"THE CREATIONIST FICTION: THE CASE AGAINST CREATIONISM ABOUT FICTIONAL
CHARACTERS","PHILOSOPHICAL REVIEW"
"1148","LEVINE JOSEPH",2010,"THE Q FACTOR: MODAL RATIONALISM VERSUS MODAL AUTONOMISM","PHILOSOPHICAL REVIEW"
"1149","NINAN DILIP",2009,"PERSISTENCE AND THE FIRST-PERSON PERSPECTIVE","PHILOSOPHICAL REVIEW"
"1150","SINHABABU NEIL",2009,"THE HUMEAN THEORY OF MOTIVATION REFORMULATED AND DEFENDED","PHILOSOPHICAL REVIEW"
"1151","HOGAN DESMOND",2009,"NOUMENAL AFFECTION","PHILOSOPHICAL REVIEW"
"1152","BURGE TYLER",2009,"PERCEPTUAL OBJECTIVITY","PHILOSOPHICAL REVIEW"
"1153","GILLIES ANTHONY S",2009,"ON TRUTH-CONDITIONS FOR IF (BUT NOT QUITE ONLY IF)","PHILOSOPHICAL REVIEW"
"1154","WILBERDING JAMES",2009,"PLATO'S TWO FORMS OF SECOND-BEST MORALITY","PHILOSOPHICAL REVIEW"
"1155","DEROSSET LOUIS",2009,"PRODUCTION AND NECESSITY","PHILOSOPHICAL REVIEW"
"1156","ABELL CATHARINE",2009,"CANNY RESEMBLANCE","PHILOSOPHICAL REVIEW"
"1157","KALDERON MARK ELI",2009,"EPISTEMIC RELATIVISM","PHILOSOPHICAL REVIEW"
"1158","CROWTHER THOMAS",2009,"WATCHING, SIGHT, AND THE TEMPORAL SHAPE OF PERCEPTUAL ACTIVITY","PHILOSOPHICAL REVIEW"
"1159","HIERONYMI P",2005,"THE WRONG KIND OF REASON","JOURNAL OF PHILOSOPHY"
"1160","MERRICKS TRENTON",2009,"TRUTH AND FREEDOM","PHILOSOPHICAL REVIEW"
"1161","BRIGGS RACHAEL",2009,"DISTORTED REFLECTION","PHILOSOPHICAL REVIEW"
"1162","SHOEMAKER SYDNEY",2009,"CAREERS AND QUAREERS: A REPLY TO BURGE","PHILOSOPHICAL REVIEW"
"1163","SHIFFRIN SEANA VALENTINE",2008,"PROMISING, INTIMATE RELATIONSHIPS, AND CONVENTIONALISM","PHILOSOPHICAL REVIEW"
"1164","CUMMING SAMUEL",2008,"VARIABILISM","PHILOSOPHICAL REVIEW"
"1165","TITELBAUM MICHAEL G",2008,"THE RELEVANCE OF SELF-LOCATING BELIEFS","PHILOSOPHICAL REVIEW"
"1166","MILLS EUGENE",2008,"THE EGG AND I: CONCEPTION, IDENTITY, AND ABORTION","PHILOSOPHICAL REVIEW"
"1167","MCKENNA MICHAEL",2008,"SAYING GOOD-BYE TO THE DIRECT ARGUMENT THE RIGHT WAY","PHILOSOPHICAL REVIEW"
"1168","RAYO AGUSTIN",2008,"ON SPECIFYING TRUTH-CONDITIONS","PHILOSOPHICAL REVIEW"
"1169","JACOBSON DANIEL",2008,"UTILITARIANISM WITHOUT CONSEQUENTIALISM: THE CASE OF JOHN STUART MILL","PHILOSOPHICAL REVIEW"
"1170","STRUDLER A",2005,"DECEPTION UNRAVELED","JOURNAL OF PHILOSOPHY"
"1171","SCHWITZGEBEL ERIC",2008,"THE UNRELIABILITY OF NAIVE INTROSPECTION","PHILOSOPHICAL REVIEW"
"1172","FORBES GRAEME",2008,"CRITICAL NOTICE OF KIT FINE'S MODALITY AND TENSE: PHILOSOPHICAL PAPERS","PHILOSOPHICAL REVIEW"
"1173","LESLIE SARAH-JANE",2008,"GENERICS: COGNITION AND ACQUISITION","PHILOSOPHICAL REVIEW"
"1174","BUSH STEPHEN S",2008,"DIVINE AND HUMAN HAPPINESS IN NICOMACHEAN ETHICS","PHILOSOPHICAL REVIEW"
"1175","KING JEFFREY C",2008,"COMPLEX DEMONSTRATIVES, QI USES, AND DIRECT REFERENCE","PHILOSOPHICAL REVIEW"
"1176","HITCHCOCK CHRISTOPHER R",2007,"PREVENTION, PREEMPTION, AND THE PRINCIPLE OF SUFFICIENT REASON","PHILOSOPHICAL REVIEW"
"1177","GERT JOSHUA",2007,"NORMATIVE STRENGTH AND THE BALANCE OF REASONS","PHILOSOPHICAL REVIEW"
"1178","KALDERON MARK ELI",2007,"COLOR PLURALISM","PHILOSOPHICAL REVIEW"
"1179","SMITH NICHOLAS JJ",2005,"A PLEA FOR THINGS THAT ARE NOT QUITE ALL THERE: OR, IS THERE A PROBLEM
ABOUT VAGUE COMPOSITION AND VAGUE EXISTENCE?","JOURNAL OF PHILOSOPHY"
"1180","KAPLOW LOUIS",2007,"PRIMARY GOODS, CAPABILITIES, ... OR WELL-BEING?","PHILOSOPHICAL REVIEW"
"1181","CHIGNELL ANDREW",2007,"BELIEF IN KANT","PHILOSOPHICAL REVIEW"
"1182","WILLIAMS J ROBERT G",2007,"ELIGIBILITY AND INSCRUTABILITY","PHILOSOPHICAL REVIEW"
"1183","BAYS TIMOTHY",2007,"THE PROBLEM WITH CHARLIE: SOME REMARKS ON PUTNAM, LEWIS, AND WILLIAMS","PHILOSOPHICAL REVIEW"
"1184","HAWTHORNE JOHN",2007,"CRAZINESS AND METASEMANTICS","PHILOSOPHICAL REVIEW"
"1185","HELLIE BENJ",2007,"`THERE'S SOMETHING IT'S LIKE' AND THE STRUCTURE OF CONSCIOUSNESS","PHILOSOPHICAL REVIEW"
"1186","LANGTON RAE",2007,"OBJECTIVE AND UNCONDITIONED VALUE","PHILOSOPHICAL REVIEW"
"1187","CHRISTENSEN DAVID",2007,"EPISTEMOLOGY OF DISAGREEMENT: THE GOOD NEWS","PHILOSOPHICAL REVIEW"
"1188","STEPHANOU YANNIS",2007,"SERIOUS ACTUALISM","PHILOSOPHICAL REVIEW"
"1189","STALNAKER ROBERT",2007,"CRITICAL NOTICE OF SCOTT SOAMES'S CASE AGAINST TWO-DIMENSIONALISM","PHILOSOPHICAL REVIEW"
"1190","LADEN AS",2005,"EVALUATING SOCIAL REASONS: HOBBES VERSUS HEGEL","JOURNAL OF PHILOSOPHY"
"1191","DUNCAN CRAIG",2007,"THE PERSECUTOR'S WAGER","PHILOSOPHICAL REVIEW"
"1192","SIDER THEODORE",2007,"PARTHOOD","PHILOSOPHICAL REVIEW"
"1193","EGAN ANDY",2007,"SOME COUNTEREXAMPLES TO CAUSAL DECISION THEORY","PHILOSOPHICAL REVIEW"
"1194","SALMON NATHAN",2006,"A THEORY OF BONDAGE","PHILOSOPHICAL REVIEW"
"1195","DOUVEN IGOR",2006,"ASSERTION, KNOWLEDGE, AND RATIONAL CREDIBILITY","PHILOSOPHICAL REVIEW"
"1196","MAY ROBERT",2006,"FREGE ON INDEXICALS","PHILOSOPHICAL REVIEW"
"1197","LIN MARTIN",2006,"TELEOLOGY AND HUMAN ACTION IN SPINOZA","PHILOSOPHICAL REVIEW"
"1198","SIEGEL SUSANNA",2006,"SUBJECT AND OBJECT IN THE CONTENTS OF VISUAL EXPERIENCE","PHILOSOPHICAL REVIEW"
"1199","TYE MICHAEL",2006,"ABSENT QUALIA AND THE MIND-BODY PROBLEM","PHILOSOPHICAL REVIEW"
"1200","LAPORTE J",2005,"IS THERE A SINGLE OBJECTIVE, EVOLUTIONARY TREE OF LIFE?","JOURNAL OF PHILOSOPHY"
"1201","ENOCH DAVID",2006,"AGENCY, SHMAGENCY: WHY NORMATIVITY WON'T COME FROM WHAT IS CONSTITUTIVE
OF ACTION","PHILOSOPHICAL REVIEW"
"1202","MALMGREN ANNA-SARA",2006,"IS THERE A PRIORI KNOWLEDGE BY TESTIMONY?","PHILOSOPHICAL REVIEW"
"1203","WOODWARD JAMES",2006,"SENSITIVE AND INSENSITIVE CAUSATION","PHILOSOPHICAL REVIEW"
"1204","OWENS DAVID",2006,"A SIMPLE THEORY OF PROMISING","PHILOSOPHICAL REVIEW"
"1205","GIBBONS JOHN",2006,"MENTAL CAUSATION WITHOUT DOWNWARD CAUSATION","PHILOSOPHICAL REVIEW"
"1206","LANGE MARC",2005,"HOW CAN INSTANTANEOUS VELOCITY FULFILL ITS CAUSAL ROLE?","PHILOSOPHICAL REVIEW"
"1207","GENTZLER JYL",2005,"HOW TO KNOW THE GOOD: THE MORAL EPISTEMOLOGY OF PLATO'S REPUBLIC","PHILOSOPHICAL REVIEW"
"1208","BENNETT KAREN",2005,"TWO AXES OF ACTUALISM","PHILOSOPHICAL REVIEW"
"1209","SCHAFFER JONATHAN",2005,"CONTRASTIVE CAUSATION","PHILOSOPHICAL REVIEW"
"1210","GALLOIS A",2005,"THE SIMPLICITY OF IDENTITY","JOURNAL OF PHILOSOPHY"
"1211","SPEAKS JEFF",2005,"IS THERE A PROBLEM ABOUT NONCONCEPTUAL CONTENT?","PHILOSOPHICAL REVIEW"
"1212","SUSSMAN DAVID",2005,"PERVERSITY OF THE HEART","PHILOSOPHICAL REVIEW"
"1213","HOFWEBER THOMAS",2005,"NUMBER DETERMINERS, NUMBERS, AND ARITHMETIC","PHILOSOPHICAL REVIEW"
"1214","WEINER MATTHEW",2005,"MUST WE KNOW WHAT WE SAY?","PHILOSOPHICAL REVIEW"
"1215","ANDERSON ELIZABETH",2005,"CRITICAL NOTICE OF AMARTYA SEN, RATIONALITY AND FREEDOM","PHILOSOPHICAL REVIEW"
"1216","RAFFMAN DIANA",2005,"BORDERLINE CASES AND BIVALENCE","PHILOSOPHICAL REVIEW"
"1217","ZALABARDO JOSE L",2005,"EXTERNALISM, SKEPTICISM, AND THE PROBLEM OF EASY KNOWLEDGE","PHILOSOPHICAL REVIEW"
"1218","MORGAN SEIRIOL",2005,"THE MISSING FORMAL PROOF OF HUMANITY'S RADICAL EVIL IN KANT'S RELIGION","PHILOSOPHICAL REVIEW"
"1219","COHEN JONATHAN",2004,"COLOR PROPERTIES AND COLOR ASCRIPTIONS: A RELATIONALIST MANIFESTO","PHILOSOPHICAL REVIEW"
"1220","HOLTON RICHARD",2004,"RATIONAL RESOLVE","PHILOSOPHICAL REVIEW"
"1221","KOSLOW ARNOLD",2012,"THE EXPLANATION OF LAWS: SOME UNFINISHED BUSINESS","JOURNAL OF PHILOSOPHY"
"1222","BROUGHTON JANET",2004,"THE INQUIRY IN HUME'S TREATISE","PHILOSOPHICAL REVIEW"
"1223","ROTH ABRAHAM SESSHU",2004,"SHARED AGENCY AND CONTRALATERAL COMMITMENTS","PHILOSOPHICAL REVIEW"
"1224","SUTHERLAND D",2004,"KANT'S PHILOSOPHY OF MATHEMATICS AND THE GREEK MATHEMATICAL TRADITION","PHILOSOPHICAL REVIEW"
"1225","LEE S",2004,"LEIBNIZ ON DIVINE CONCURRENCE","PHILOSOPHICAL REVIEW"
"1226","GARDNER S",2004,"CRITICAL NOTICE OF RICHARD MORAN, AUTHORITY AND ESTRANGEMENT: AN ESSAY
ON SELF-KNOWLEDGE","PHILOSOPHICAL REVIEW"
"1227","KROON FREDERICK",2004,"DESCRIPTIVISM, PRETENSE, AND THE FREGE-RUSSELL PROBLEMS","PHILOSOPHICAL REVIEW"
"1228","PASNAU R",2004,"FORM, SUBSTANCE, AND MECHANISM","PHILOSOPHICAL REVIEW"
"1229","BARNETT DAVID",2004,"SOME STUFFS ARE NOT SUMS OF STUFF","PHILOSOPHICAL REVIEW"
"1230","SHAH NISHI",2003,"HOW TRUTH GOVERNS BELIEF","PHILOSOPHICAL REVIEW"
"1231","WESTLUND AC",2003,"SELFLESSNESS AND RESPONSIBILITY FOR SELF: IS DEFERENCE COMPATIBLE WITH
AUTONOMY?","PHILOSOPHICAL REVIEW"
"1232","AVERILL EDWARD WILSON",2005,"TOWARD A PROJECTIVIST ACCOUNT OF COLOR","JOURNAL OF PHILOSOPHY"
"1233","MILLGRAM E",2003,"DOES THE CATEGORICAL IMPERATIVE GIVE RISE TO A CONTRADICTION IN THE
WILL?","PHILOSOPHICAL REVIEW"
"1234","BURGE TYLER",2003,"MEMORY AND PERSONS","PHILOSOPHICAL REVIEW"
"1235","SETIYA K",2003,"EXPLAINING ACTION","PHILOSOPHICAL REVIEW"
"1236","KOLODNY NIKO",2003,"LOVE AS VALUING A RELATIONSHIP","PHILOSOPHICAL REVIEW"
"1237","CAPLAN BEN",2003,"PUTTING THINGS IN CONTEXTS","PHILOSOPHICAL REVIEW"
"1238","BRINK DAVID O",2003,"PRUDENCE AND AUTHENTICITY: INTRAPERSONAL CONFLICTS OF VALUE","PHILOSOPHICAL REVIEW"
"1239","DEROSE KEITH",2003,"ASSERTION, KNOWLEDGE, AND CONTEXT","PHILOSOPHICAL REVIEW"
"1240","WRIGHT CRISPIN",2003,"WHAT COULD ANTIREALISM ABOUT ORDINARY PSYCHOLOGY POSSIBLY BE?","PHILOSOPHICAL REVIEW"
"1241","VELLEMAN JD",2003,"NARRATIVE EXPLANATION","PHILOSOPHICAL REVIEW"
"1242","HAJEK A",2003,"WAGING WAR ON PASCAL'S WAGER","PHILOSOPHICAL REVIEW"
"1243","DERKSEN AA",2005,"LINEAR PERSPECTIVE AS A REALIST CONSTRAINT","JOURNAL OF PHILOSOPHY"
"1244","STUART M",2003,"LOCKE'S COLORS","PHILOSOPHICAL REVIEW"
"1245","SALMON NATHAN",2002,"DEMONSTRATING AND NECESSITY","PHILOSOPHICAL REVIEW"
"1246","BREWER T",2002,"MAXIMS AND VIRTUES","PHILOSOPHICAL REVIEW"
"1247","KING JEFFREY C",2002,"DESIGNATING PROPOSITIONS","PHILOSOPHICAL REVIEW"
"1248","VAN CLEVE J",2002,"THOMAS REID'S GEOMETRY OF VISIBLES","PHILOSOPHICAL REVIEW"
"1249","HARMAN GILBERT",2002,"REFLECTIONS ON KNOWLEDGE AND ITS LIMITS","PHILOSOPHICAL REVIEW"
"1250","POLLOCK JL",2002,"RATIONAL CHOICE AND ACTION OMNIPOTENCE","PHILOSOPHICAL REVIEW"
"1251","MACFARLANE JOHN",2002,"FREGE, KANT, AND THE LOGIC IN LOGICISM","PHILOSOPHICAL REVIEW"
"1252","TIBERIUS V",2005,"WISDOM AND PERSPECTIVE","JOURNAL OF PHILOSOPHY"
"1253","JOHNSEN BREDO C",2001,"ON THE COHERENCE OF PYRRHONIAN SKEPTICISM","PHILOSOPHICAL REVIEW"
"1254","HITCHCOCK CHRISTOPHER R",2001,"A TALE OF TWO EFFECTS","PHILOSOPHICAL REVIEW"
"1255","KELLY SD",2001,"DEMONSTRATIVE CONCEPTS AND EXPERIENCE","PHILOSOPHICAL REVIEW"
"1256","KITCHER P",2001,"REAL REALISM: THE GALILEAN STRATEGY","PHILOSOPHICAL REVIEW"
"1257","WEDGWOOD RALPH",2001,"CONCEPTUAL ROLE SEMANTICS FOR MORAL TERMS","PHILOSOPHICAL REVIEW"
"1258","SIMMONS A",2001,"CHANGING THE CARTESIAN MIND: LEIBNIZ ON SENSATION, REPRESENTATION AND
CONSCIOUSNESS","PHILOSOPHICAL REVIEW"
"1259","HECK RICHARD G JR",2000,"NONCONCEPTUAL CONTENT AND THE ``SPACE OF REASONS{''}","PHILOSOPHICAL REVIEW"
"1260","HUEMER MICHAEL",2000,"VANINWAGEN'S CONSEQUENCE ARGUMENT","PHILOSOPHICAL REVIEW"
"1261","SREENIVASAN GOPAL",2000,"WHAT IS THE GENERAL WILL?","PHILOSOPHICAL REVIEW"
"1262","DARWALL S",2000,"NORMATIVITY AND PROJECTION IN HOBBES' `LEVIATHAN'","PHILOSOPHICAL REVIEW"
"1263","CHRISTENSEN DAVID",2000,"DIACHRONIC COHERENCE VERSUS EPISTEMIC IMPARTIALITY","PHILOSOPHICAL REVIEW"
"1264","NELKIN DK",2000,"THE LOTTERY PARADOX, KNOWLEDGE, AND RATIONALITY","PHILOSOPHICAL REVIEW"
"1265","CONEE EARL",2000,"THE MORAL VALUE IN PROMISES","PHILOSOPHICAL REVIEW"
"1266","BERGMANN MICHAEL",2000,"EXTERNALISM AND SKEPTICISM","PHILOSOPHICAL REVIEW"
"1267","FINE G",2000,"DESCARTES AND ANCIENT SKEPTICISM: REHEATED CABBAGE?","PHILOSOPHICAL REVIEW"
"1268","SMIT H",2000,"KANT ON MARKS AND THE IMMEDIACY OF INTUITION","PHILOSOPHICAL REVIEW"
"1269","FINE KIT",2000,"NEUTRAL RELATIONS","PHILOSOPHICAL REVIEW"
"1270","BRATMAN MICHAEL E",2000,"REFLECTION, PLANNING, AND TEMPORALLY EXTENDED AGENCY","PHILOSOPHICAL REVIEW"
"1271","ERNST ZACHARY",2005,"A PLEA FOR ASYMMETRIC GAMES","JOURNAL OF PHILOSOPHY"
"1272","COHON R",2000,"THE ROOTS OF REASONS","PHILOSOPHICAL REVIEW"
"1273","JACOVIDES M",1999,"LOCKE'S RESEMBLANCE THESES","PHILOSOPHICAL REVIEW"
"1274","BALOG KATALIN",1999,"CONCEIVABILITY, POSSIBILITY, AND THE MIND-BODY PROBLEM","PHILOSOPHICAL REVIEW"
"1275","VELLEMAN JD",1999,"A RATIONAL SUPEREGO","PHILOSOPHICAL REVIEW"
"1276","GRIFFIN MV",1999,"LEIBNIZ ON GOD'S KNOWLEDGE OF COUNTERFACTUALS","PHILOSOPHICAL REVIEW"
"1277","KITCHER P",1999,"KANT ON SELF-CONSCIOUSNESS","PHILOSOPHICAL REVIEW"
"1278","DRAPER K",1999,"DISAPPOINTMENT, SADNESS, AND DEATH","PHILOSOPHICAL REVIEW"
"1279","SVAVARSDOTTIR SIGRUN",1999,"MORAL COGNITIVISM AND MOTIVATION","PHILOSOPHICAL REVIEW"
"1280","MURDOCH D",1999,"THE CARTESIAN CIRCLE","PHILOSOPHICAL REVIEW"
"1281","SLEIGH RC",1999,"LEIBNIZ ON FREEDOM AND NECESSITY - CRITICAL NOTICE OF ROBERT ADAMS, `LEIBNIZ, DETERMINIST, THEIST, AND IDEALIST'","PHILOSOPHICAL REVIEW"
"1282","MATTHEN MOHAN",1999,"THE DISUNITY OF COLOR","PHILOSOPHICAL REVIEW"
"1283","RICKLESS SC",1998,"HOW PARMENIDES SAVED THE THEORY OF FORMS","PHILOSOPHICAL REVIEW"
"1284","BRAUN DAVID",1998,"UNDERSTANDING BELIEF REPORTS","PHILOSOPHICAL REVIEW"
"1285","DOWNING L",1998,"THE STATUS OF MECHANISM IN LOCKE'S `ESSAY'","PHILOSOPHICAL REVIEW"
"1286","WARREN D",1998,"KANT AND THE APRIORITY OF SPACE ('CRITIQUE OF PURE REASON', TRANSCENDENTAL AESTHETIC)","PHILOSOPHICAL REVIEW"
"1287","REA MC",1998,"TEMPORAL PARTS UNMOTIVATED (PERSISTENCE OVER TIME, PERDURANTISM, SPECIAL
RELATIVITY)","PHILOSOPHICAL REVIEW"
"1288","BEZUIDENHOUT ANNE L",1998,"IS VERBAL COMMUNICATION A PURELY PRESERVATIVE PROCESS?","PHILOSOPHICAL REVIEW"
